Number;Firstname;Surname;Birthday;Gender;Club;Nation;Type;Class;Starttime;Finish;RankValue;ExitStatus;Rank;RankPoints;Participated;ContestantId;Team;TotalPoints;TotalTime;TotalTimeFormatted;TotalDiffTimeFormatted;BonusSeconds;ClassId;Norges Cup 2/Junior Cup 1 Normal-Points;Norges Cup 2/Junior Cup 1 Normal-Time;Norges Cup 2/Junior Cup 1 Normal-TimeFormatted;Norges Cup 2/Junior Cup 1 Normal-DiffTimeFormatted;Norges Cup 2/Junior Cup 1 Sprint-Points;Norges Cup 2/Junior Cup 1 Sprint-Time;Norges Cup 2/Junior Cup 1 Sprint-TimeFormatted;Norges Cup 2/Junior Cup 1 Sprint-DiffTimeFormatted;Norges Cup 5 Normal (NM for jr.)-Points;Norges Cup 5 Normal (NM for jr.)-Time;Norges Cup 5 Normal (NM for jr.)-TimeFormatted;Norges Cup 5 Normal (NM for jr.)-DiffTimeFormatted;Norges Cup 5 Sprint-Points;Norges Cup 5 Sprint-Time;Norges Cup 5 Sprint-TimeFormatted;Norges Cup 5 Sprint-DiffTimeFormatted;Norges Cup 4 Sprint-Points;Norges Cup 4 Sprint-Time;Norges Cup 4 Sprint-TimeFormatted;Norges Cup 4 Sprint-DiffTimeFormatted;NM Junior / NC 6 Senior  Fellesstart-Points;NM Junior / NC 6 Senior  Fellesstart-Time;NM Junior / NC 6 Senior  Fellesstart-TimeFormatted;NM Junior / NC 6 Senior  Fellesstart-DiffTimeFormatted;NM Junior / NC 6 Senior  Sprint-Points;NM Junior / NC 6 Senior  Sprint-Time;NM Junior / NC 6 Senior  Sprint-TimeFormatted;NM Junior / NC 6 Senior  Sprint-DiffTimeFormatted;Norges Cup finale junior og ungdom fellesstart-Points;Norges Cup finale junior og ungdom fellesstart-Time;Norges Cup finale junior og ungdom fellesstart-TimeFormatted;Norges Cup finale junior og ungdom fellesstart-DiffTimeFormatted;Norges Cup 4 Sprint Søndag-Points;Norges Cup 4 Sprint Søndag-Time;Norges Cup 4 Sprint Søndag-TimeFormatted;Norges Cup 4 Sprint Søndag-DiffTimeFormatted;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-Points;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-Time;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-TimeFormatted;Norges Cup 2 junior, fellesstart / Norgescup 1 ungdom, fellesstart og sprint-DiffTimeFormatted;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-Points;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-Time;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-TimeFormatted;NM senior del 1 / Norges Cup 3 senior, sprint og fellesstart / Norges Cup 2 junior, sprint-DiffTimeFormatted
85;Thor Arild;Aas;0;m;Birkenes IL;NO;Serie;M20-21;00:00:00.000;Mål;34.0;OK;37;0;8;694583;Team iSandnes;34.0;16314650;4:31:54.65;Mangler 1;0;544812;NOR;1.0;3050870;50:50.8;9:22.9;0.0;1884600;31:24.6;3:58.1;;;;;;;;;20.0;1770490;29:30.49;1:44.15;0.0;2307600;38:27.6;5:43.9;0.0;1630800;27:10.8;3:42.2;;;;;5.0;1741990;29:01.9;3:01.3;8.0;2231900;37:11;3:06;0.0;1696400;28:16;4:25
86;Ole Christian;Johnsrud;0;m;Bjerke IL Ski;NO;Serie;M20-21;00:00:00.000;Mål;31.0;OK;38;0;2;4702828;Holmenkollen Biathlon;31.0;4707060;1:18:27.06;Mangler 7;0;544812;NOR;15.0;2946360;49:06.3;7:38.4;16.0;1760700;29:20.7;1:54.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Sindre Davidsen;Schonhowd;0;m;Søndre Ål Sportsklubb;NO;Serie;M20-21;00:00:00.000;Mål;31.0;OK;39;0;9;389685;Team Lygna skiskyting;31.0;19265340;5:21:05.34;21:06.140;0;544812;NOR;10.0;2970300;49:30.3;8:02.4;0.0;1848600;30:48.6;3:22.1;0.0;2716900;45:16.9;6:24.2;14.0;1599820;26:39.8;2:02.6;7.0;1825400;30:25.40;2:39.06;0.0;2348800;39:08.8;6:25.1;0.0;1688500;28:08.5;4:39.9;;;;;0.0;1801320;30:01.3;4:00.7;0.0;2465700;41:05;7:00;0.0;1699500;28:19;4:28
88;Per;VASSMYR;0;m;Tromsø Skiskytterlag;NO;Serie;M20-21;00:00:00.000;Mål;28.0;OK;40;0;9;616752;Team Troms & Finnmark;28.0;18972630;5:16:12.63;16:13.430;0;544812;NOR;14.0;2953930;49:13.9;7:46.0;4.0;1819600;30:19.6;2:53.1;0.0;2633200;43:53.2;5:00.5;2.0;1674800;27:54.8;3:17.6;8.0;1820840;30:20.84;2:34.50;0.0;2221300;37:01.3;4:17.6;0.0;1715200;28:35.2;5:06.6;;;;;0.0;1803760;30:03.7;4:03.1;0.0;2330000;38:50;4:45;0.0;1711000;28:31;4:40
89;Erlend;Bakken;0;m;Markane IL;NO;Serie;M20-21;00:00:00.000;Mål;28.0;OK;41;0;9;721556;;28.0;18841870;5:14:01.87;14:02.670;0;544812;NOR;0.0;3110030;51:50.0;10:22.1;0.0;1849200;30:49.2;3:22.7;13.0;2508900;41:48.9;2:56.2;1.0;1685130;28:05.1;3:27.9;0.0;1975510;32:55.51;5:09.17;2.0;2177400;36:17.4;3:33.7;0.0;1652300;27:32.3;4:03.7;;;;;0.0;1776510;29:36.5;3:35.9;3.0;2276300;37:56;3:51;9.0;1607100;26:47;2:56
90;Rasmus Odland;Kvamme;0;m;Tromsø Skiskytterlag;NO;Serie;M20-21;00:00:00.000;Mål;26.0;OK;42;0;9;566164;Team Troms & Finnmark;26.0;18993830;5:16:33.83;16:34.630;0;544812;NOR;0.0;3195230;53:15.2;11:47.3;2.0;1826100;30:26.1;2:59.6;2.0;2617700;43:37.7;4:45.0;16.0;1594450;26:34.4;1:57.2;0.0;1876650;31:16.65;3:30.31;0.0;2334500;38:54.5;6:10.8;0.0;1635900;27:15.9;3:47.3;;;;;0.0;1797800;29:57.8;3:57.2;2.0;2291100;38:11;4:06;4.0;1622200;27:02;3:11
91;Hans Kristian;Sørum;0;m;MjøsSki;NO;Serie;M20-21;00:00:00.000;Mål;21.0;OK;43;0;1;694653;Team Woodcon;21.0;2896570;48:16.57;Mangler 8;0;544812;NOR;21.0;2896570;48:16.5;6:48.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Trym;Paulsen;0;m;Skonseng UL;NO;Serie;M20-21;00:00:00.000;Mål;19.0;OK;44;0;4;4083331;Team Polarsirkelen ski;19.0;7947580;2:12:27.58;Mangler 5;0;544812;NOR;;;;;;;;;14.0;2502800;41:42.8;2:50.1;0.0;1712980;28:32.9;3:55.7;;;;;5.0;2163200;36:03.2;3:19.5;0.0;1568600;26:08.6;2:40.0;;;;;;;;;;;;;;;;
93;Torje Usland;Dahl;0;m;Marnardal IL;NO;Serie;M20-21;00:00:00.000;Mål;19.0;OK;45;0;4;3740975;Sirdal Ski;19.0;8520480;2:22:00.48;Mangler 5;0;544812;NOR;11.0;2965410;49:25.4;7:57.5;8.0;1778900;29:38.9;2:12.4;;;;;;;;;0.0;1901870;31:41.87;3:55.53;;;;;;;;;;;;;0.0;1874300;31:14.3;5:13.7;;;;;;;;
94;Magnus Raaum;Langseth;0;m;Østre Toten Skilag;NO;Serie;M20-21;00:00:00.000;Mål;18.0;OK;46;0;9;4445298;Team Lygna skiskyting;18.0;19205150;5:20:05.15;20:05.950;0;544812;NOR;0.0;3206440;53:26.4;11:58.5;0.0;2005300;33:25.3;5:58.8;0.0;2630700;43:50.7;4:58.0;0.0;1698390;28:18.3;3:41.1;6.0;1826770;30:26.77;2:40.43;0.0;2256200;37:36.2;4:52.5;8.0;1538600;25:38.6;2:10.0;;;;;0.0;1775250;29:35.2;3:34.6;4.0;2267500;37:47;3:42;0.0;1654900;27:34;3:43
95;Sindre;Gjøsæter;0;m;Kvam Langrenn- og Skiskyttarklubb;NO;Serie;M20-21;00:00:00.000;Mål;17.0;OK;47;0;8;4204867;Holmenkollen Biathlon;17.0;16943980;4:42:23.98;Mangler 1;0;544812;NOR;13.0;2957320;49:17.3;7:49.4;0.0;1964300;32:44.3;5:17.8;0.0;2774300;46:14.3;7:21.6;4.0;1669440;27:49.4;3:12.2;0.0;1871250;31:11.25;3:24.91;0.0;2275300;37:55.3;5:11.6;0.0;1624800;27:04.8;3:36.2;;;;;0.0;1807270;30:07.2;4:06.6;;;;;;;;
96;Håvard;Haugen;0;m;Tonstad IL;NO;Serie;M20-21;00:00:00.000;Mål;15.0;OK;48;0;8;4213333;Sirdal Ski;15.0;15821360;4:23:41.36;Mangler 1;0;544812;NOR;0.0;3115590;51:55.5;10:27.6;0.0;1885900;31:25.9;3:59.4;0.0;0;0:00.0;38:52.7;7.0;1664010;27:44.0;3:06.8;0.0;1870810;31:10.81;3:24.47;0.0;2226900;37:06.9;4:23.2;0.0;1662900;27:42.9;4:14.3;;;;;0.0;1786050;29:46.0;3:45.4;0.0;2424800;40:24;6:19;8.0;1609200;26:49;2:58
97;Tobias;Hægeland;0;m;Øvrebø IL;NO;Serie;M20-21;00:00:00.000;Mål;12.0;OK;49;0;6;694610;Team iSandnes;12.0;12358210;3:25:58.21;Mangler 3;0;544812;NOR;;;;;;;;;5.0;2597200;43:17.2;4:24.5;0.0;1742410;29:02.4;4:25.2;;;;;0.0;2481000;41:21.0;8:37.3;0.0;1667100;27:47.1;4:18.5;;;;;;;;;5.0;2242900;37:22;3:17;2.0;1627600;27:07;3:16
98;Sigurd;Trømborg;0;m;IL Bevern;NO;Serie;M20-21;00:00:00.000;Mål;9.0;OK;50;0;3;3799043;Team iSandnes;9.0;6658260;1:50:58.26;Mangler 6;0;544812;NOR;9.0;2984160;49:44.1;8:16.2;0.0;1974400;32:54.4;5:27.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1699700;28:19;4:28
99;Aksel Mathias;Meland;0;m;Markane IL;NO;Serie;M20-21;00:00:00.000;Mål;4.0;OK;51;0;9;1362542;;4.0;19924120;5:32:04.12;32:04.920;0;544812;NOR;0.0;3262520;54:22.5;12:54.6;0.0;2008500;33:28.5;6:02.0;0.0;2768500;46:08.5;7:15.8;0.0;1770040;29:30.0;4:52.8;0.0;1973540;32:53.54;5:07.20;0.0;2354000;39:14.0;6:30.3;0.0;1601800;26:41.8;3:13.2;;;;;4.0;1742020;29:02.0;3:01.4;0.0;2443200;40:43;6:38;0.0;1746000;29:06;5:15
100;Haldan;Borglum;0;m;Foreign Citizen;CA;Serie;M20-21;00:00:00.000;Mål;4.0;OK;51;0;2;4797680;;4.0;3842200;1:04:02.20;Mangler 7;0;544812;CAN;;;;;;;;;;;;;;;;;;;;;4.0;2163900;36:03.9;3:20.2;0.0;1678300;27:58.3;4:29.7;;;;;;;;;;;;;;;;
101;Christian Brennhovd;Bang;0;m;Asker Skiklubb;NO;Serie;M20-21;00:00:00.000;Mål;4.0;OK;53;0;2;1429224;Team OASSK;4.0;3596780;59:56.78;Mangler 7;0;544812;NOR;;;;;;;;;;;;;;;;;3.0;1836080;30:36.08;2:49.74;;;;;;;;;;;;;1.0;1760700;29:20.7;3:20.1;;;;;;;;
102;Erik Kjøsnes;Wekre;0;m;Steinkjer Skiklubb;NO;Serie;M20-21;00:00:00.000;Mål;3.0;OK;54;0;4;941160;Steinkjer vgs;3.0;8717840;2:25:17.84;Mangler 5;0;544812;NOR;;;;;;;;;3.0;2615300;43:35.3;4:42.6;0.0;1828640;30:28.6;5:51.4;;;;;;;;;;;;;;;;;;;;;0.0;2525600;42:05;8:00;0.0;1748300;29:08;5:17
103;Eirik Markus;Rinde;0;m;Vik IL;NO;Serie;M20-21;00:00:00.000;Mål;2.0;OK;55;0;9;4444898;Team Glalaks;2.0;20191550;5:36:31.55;36:32.350;0;544812;NOR;0.0;3412790;56:52.7;15:24.8;0.0;2160200;36:00.2;8:33.7;0.0;2756800;45:56.8;7:04.1;0.0;1709020;28:29.0;3:51.8;0.0;1965220;32:45.22;4:58.88;0.0;2320600;38:40.6;5:56.9;0.0;1617700;26:57.7;3:29.1;;;;;2.0;1747420;29:07.4;3:06.8;0.0;2501800;41:41;7:36;0.0;1725400;28:45;4:54
104;Torbjørn;Oppigard;0;m;Eikesdal Skiskyttarlag - Skiskyting;NO;Serie;M20-21;00:00:00.000;Mål;2.0;OK;56;0;9;4496387;;2.0;19269000;5:21:09.00;21:09.800;0;544812;NOR;0.0;3070590;51:10.5;9:42.6;0.0;1864600;31:04.6;3:38.1;0.0;2640300;44:00.3;5:07.6;0.0;1736810;28:56.8;4:19.6;0.0;1968000;32:48.00;5:01.66;0.0;2357800;39:17.8;6:34.1;0.0;1700500;28:20.5;4:51.9;;;;;;;;;1.0;2296400;38:16;4:11;1.0;1634000;27:14;3:23
105;Martin;Solberg;0;m;Froland IL;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;4;579360;;0.0;9513630;2:38:33.63;Mangler 5;0;544812;NOR;0.0;3109030;51:49.0;10:21.1;0.0;1922600;32:02.6;4:36.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;2604000;43:24;9:19;0.0;1878000;31:18;7:27
106;Håkon;Frøseth;0;m;Sokna IL;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;8;4708461;Meråker vgs;0.0;17859860;4:57:39.86;Mangler 1;0;544812;NOR;0.0;3113460;51:53.4;10:25.5;0.0;1961700;32:41.7;5:15.2;0.0;2704800;45:04.8;6:12.1;0.0;1826500;30:26.5;5:49.3;;;;;0.0;2350000;39:10.0;6:26.3;0.0;1638500;27:18.5;3:49.9;;;;;;;;;0.0;2472300;41:12;7:07;0.0;1792600;29:52;6:01
107;Marthin Berg;Kirkhus;0;m;Asker Skiklubb;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;5;694663;Team OASSK;0.0;11370750;3:09:30.75;Mangler 4;0;544812;NOR;0.0;3155990;52:35.9;11:08.0;;;;;;;;;;;;;0.0;2015650;33:35.65;5:49.31;;;;;;;;;;;;;0.0;1820810;30:20.8;4:20.2;0.0;2603700;43:23;9:18;0.0;1774600;29:34;5:43
108;Sondre Nikolai;Olsen;0;m;Trondhjems Skiskyttere;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;6;941471;Trondheim Biathlon Team;0.0;13292010;3:41:32.01;Mangler 3;0;544812;NOR;0.0;3177350;52:57.3;11:29.4;0.0;2032300;33:52.3;6:25.8;;;;;;;;;0.0;1969820;32:49.82;5:03.48;0.0;2451400;40:51.4;8:07.7;0.0;1761000;29:21.0;5:52.4;;;;;0.0;1900140;31:40.1;5:39.5;;;;;;;;
109;Ola Nymoen;Aas;0;m;Røros IL;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;8;527116;Trondheim Biathlon Team;0.0;18344520;5:05:44.52;Mangler 1;0;544812;NOR;0.0;3179440;52:59.4;11:31.5;0.0;1959200;32:39.2;5:12.7;0.0;3223300;53:43.3;14:50.6;0.0;1886200;31:26.2;6:49.0;0.0;1993810;33:13.81;5:27.47;0.0;2458800;40:58.8;8:15.1;0.0;1775900;29:35.9;6:07.3;;;;;0.0;1867870;31:07.8;5:07.2;;;;;;;;
110;Sander Kulstad;Haugen;0;m;Østre Toten Skilag;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;9;4204938;Team Lygna skiskyting;0.0;20680140;5:44:40.14;44:40.940;0;544812;NOR;0.0;3195600;53:15.6;11:47.7;0.0;2048900;34:08.9;6:42.4;0.0;3162300;52:42.3;13:49.6;0.0;1702430;28:22.4;3:45.2;0.0;2000910;33:20.91;5:34.57;0.0;2519500;41:59.5;9:15.8;0.0;1788700;29:48.7;6:20.1;;;;;0.0;1849600;30:49.6;4:49.0;0.0;2412200;40:12;6:07;0.0;1695500;28:15;4:24
111;Halvor Taalesen;Tjøntveit;0;m;Svene IL;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;6;4081558;Team Geilo;0.0;13014900;3:36:54.90;Mangler 3;0;544812;NOR;0.0;3246310;54:06.3;12:38.4;0.0;1936100;32:16.1;4:49.6;;;;;;;;;0.0;1913360;31:53.36;4:07.02;0.0;0;0:00.0;32:43.7;;;;;;;;;0.0;1789230;29:49.2;3:48.6;0.0;2440700;40:40;6:35;0.0;1689200;28:09;4:18
112;Torjus;Idland;0;m;Figgjo IL;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;2;374614;Team iSandnes;0.0;5185120;1:26:25.12;Mangler 7;0;544812;NOR;0.0;3246520;54:06.5;12:38.6;0.0;1938600;32:18.6;4:52.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;Emil Andre;Breivik;0;m;IL Bevern;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;8;694612;Team Kongsberg;0.0;17778590;4:56:18.59;Mangler 1;0;544812;NOR;0.0;3254160;54:14.1;12:46.2;0.0;1993300;33:13.3;5:46.8;0.0;2826000;47:06.0;8:13.3;0.0;1717230;28:37.2;4:00.0;;;;;0.0;2277700;37:57.7;5:14.0;0.0;1648200;27:28.2;3:59.6;;;;;;;;;0.0;2305600;38:25;4:20;0.0;1756400;29:16;5:25
114;Håkon Midthjell;Gjørven;0;m;Markane IL;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;9;694701;Stryn vgs;0.0;21078450;5:51:18.45;51:19.250;0;544812;NOR;0.0;3374700;56:14.7;14:46.8;0.0;2046000;34:06.0;6:39.5;0.0;3035300;50:35.3;11:42.6;0.0;1853310;30:53.3;6:16.1;0.0;2119690;35:19.69;7:33.35;0.0;2433700;40:33.7;7:50.0;0.0;1719700;28:39.7;5:11.1;;;;;0.0;1969450;32:49.4;6:48.8;0.0;2526600;42:06;8:01;0.0;1830200;30:30;6:39
115;Marius Tjelde;Vaagen;0;m;Molde og Omegn IF;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;9;4710995;;0.0;21366850;5:56:06.85;56:07.650;0;544812;NOR;0.0;3516160;58:36.1;17:08.2;0.0;2110200;35:10.2;7:43.7;0.0;3023300;50:23.3;11:30.6;0.0;1907290;31:47.2;7:10.0;0.0;2065780;34:25.78;6:39.44;0.0;2520700;42:00.7;9:17.0;0.0;1706900;28:26.9;4:58.3;;;;;0.0;1937020;32:17.0;6:16.4;0.0;2579500;42:59;8:54;0.0;1903600;31:43;7:52
116;Hermann;Stensby;0;m;Hernes IL;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;5;2120466;Team Woodcon;0.0;12764220;3:32:44.22;Mangler 4;0;544812;NOR;0.0;3601390;1:00:01.3;18:33.4;;;;;;;;;;;;;0.0;2162580;36:02.58;8:16.24;;;;;;;;;;;;;0.0;2098750;34:58.7;8:58.1;0.0;2683100;44:43;10:38;0.0;2218400;36:58;13:07
117;Johan-Olav;Botn;0;m;Stårheim IL;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;1;4190032;;0.0;1880100;31:20.10;Mangler 8;0;544812;NOR;;;;;0.0;1880100;31:20.1;3:53.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;Sander;Østensen;0;m;Østre Toten Skilag;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;5;2970277;Team Lygna skiskyting;0.0;10672450;2:57:52.45;Mangler 4;0;544812;NOR;;;;;0.0;2106900;35:06.9;7:40.4;0.0;2814700;46:54.7;8:02.0;0.0;1730250;28:50.2;4:13.0;;;;;0.0;2303600;38:23.6;5:39.9;0.0;1717000;28:37.0;5:08.4;;;;;;;;;;;;;;;;
119;Kristian Lindh;Aandahl;0;m;IL Bevern;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;7;4120379;Team Kongsberg;0.0;16231180;4:30:31.18;Mangler 2;0;544812;NOR;;;;;0.0;2170400;36:10.4;8:43.9;0.0;2924500;48:44.5;9:51.8;0.0;0;0:00.0;24:37.2;0.0;2020980;33:40.98;5:54.64;0.0;2625100;43:45.1;11:01.4;0.0;1856600;30:56.6;7:28.0;;;;;0.0;0;0:00.0;26:00.6;0.0;2757800;45:57;11:52;0.0;1875800;31:15;7:24
120;Sindre Christoffer Tyldum;Andresen;0;m;Lier IL;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;6;4705113;Team Skiguard Buskerud;0.0;13664010;3:47:44.01;Mangler 3;0;544812;NOR;;;;;;;;;0.0;2882000;48:02.0;9:09.3;0.0;2031580;33:51.5;9:14.3;0.0;2319420;38:39.42;10:53.08;;;;;;;;;;;;;0.0;2017710;33:37.7;7:37.1;0.0;2597600;43:17;9:12;0.0;1815700;30:15;6:24
121;Thomas;Hulsman;0;m;Foreign Citizen;CA;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;2;4797681;;0.0;3894000;1:04:54.00;Mangler 7;0;544812;CAN;;;;;;;;;;;;;;;;;;;;;0.0;2274200;37:54.2;5:10.5;0.0;1619800;26:59.8;3:31.2;;;;;;;;;;;;;;;;
122;Ryan;Elden;0;m;Foreign Citizen;CA;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;2;4797685;;0.0;3853200;1:04:13.20;Mangler 7;0;544812;CAN;;;;;;;;;;;;;;;;;;;;;0.0;2288200;38:08.2;5:24.5;0.0;1565000;26:05.0;2:36.4;;;;;;;;;;;;;;;;
123;Mathias;Witte;0;m;Alta Skiskytterlag;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;2;520951;;0.0;4130400;1:08:50.40;Mangler 7;0;544812;NOR;;;;;;;;;;;;;;;;;;;;;0.0;2354600;39:14.6;6:30.9;0.0;1775800;29:35.8;6:07.2;;;;;;;;;;;;;;;;
124;Andrei;Secu;0;m;Foreign Citizen;CA;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;2;4797683;;0.0;4069500;1:07:49.50;Mangler 7;0;544812;CAN;;;;;;;;;;;;;;;;;;;;;0.0;2427100;40:27.1;7:43.4;0.0;1642400;27:22.4;3:53.8;;;;;;;;;;;;;;;;
125;Ola Oanes;SOLBAKKEN;0;m;Trondhjems Skiskyttere;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;2;2132692;;0.0;4433500;1:13:53.50;Mangler 7;0;544812;NOR;;;;;;;;;;;;;;;;;;;;;0.0;2685700;44:45.7;12:02.0;0.0;1747800;29:07.8;5:39.2;;;;;;;;;;;;;;;;
126;Kristoffer Schulz;Solum;0;m;Simostranda IL;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;1;694572;Team Skiguard Buskerud;0.0;1787000;29:47.00;Mangler 8;0;544812;NOR;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1787000;29:47.0;6:18.4;;;;;;;;;;;;;;;;
127;Odd;Wæhre;0;m;Meråker Skiskytterklubb;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;1;4783109;;0.0;1988200;33:08.20;Mangler 8;0;544812;NOR;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1988200;33:08.2;9:39.6;;;;;;;;;;;;;;;;
128;Vetle;Skinnarland;0;m;Bødalen IF;NO;Serie;M20-21;00:00:00.000;Mål;0.0;OK;57;0;1;694691;Team Skiguard Buskerud;0.0;1871000;31:11.00;Mangler 8;0;544812;NOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1871000;31:11;7:20
