Number;Firstname;Surname;Birthday;Gender;Club;Nation;Type;Class;Starttime;Finish;RankValue;ExitStatus;Rank;RankPoints;Participated;ContestantId;Team;TotalPoints;TotalTime;TotalTimeFormatted;TotalDiffTimeFormatted;BonusSeconds;ClassId;Lerøy Cup Senior 2/Junior Cup 1 Sprint-Points;Lerøy Cup Senior 2/Junior Cup 1 Sprint-Time;Lerøy Cup Senior 2/Junior Cup 1 Sprint-TimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Sprint-DiffTimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Normal-Points;Lerøy Cup Senior 2/Junior Cup 1 Normal-Time;Lerøy Cup Senior 2/Junior Cup 1 Normal-TimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Normal-DiffTimeFormatted;Lerøy Cup Senior 3/Junior 2 Fellesstart-Points;Lerøy Cup Senior 3/Junior 2 Fellesstart-Time;Lerøy Cup Senior 3/Junior 2 Fellesstart-TimeFormatted;Lerøy Cup Senior 3/Junior 2 Fellesstart-DiffTimeFormatted;Lerøy Cup Senior 3/ Junior 2 Sprint-Points;Lerøy Cup Senior 3/ Junior 2 Sprint-Time;Lerøy Cup Senior 3/ Junior 2 Sprint-TimeFormatted;Lerøy Cup Senior 3/ Junior 2 Sprint-DiffTimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-Points;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-Time;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-TimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-DiffTimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-Points;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-Time;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-TimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-DiffTimeFormatted;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-Points;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-Time;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-TimeFormatted;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-DiffTimeFormatted;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-Points;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-Time;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-TimeFormatted;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-DiffTimeFormatted;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Points;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Time;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-TimeFormatted;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-DiffTimeFormatted;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Points;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Time;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-TimeFormatted;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-DiffTimeFormatted
82;Anders Sønsteby;Flaagen;0;m;Søndre Ål Sportsklubb;NO;Serie;M20-22;00:00:00.000;Mål;77.0;OK;26;0;8;4703956;;77.0;15793590;4:23:13.5;3:38.780;0;623700;NOR;4.0;1690600;28:10.6;3:11.4;0.0;3090520;51:30.5;8:40.7;4.0;2245520;37:25.5;4:03.9;17.0;1392570;23:12.5;1:24.1;15.0;1415500;23:35.5;1:29.1;16.0;2228700;37:08.7;2:39.1;6.0;3011600;50:11.6;5:09.3;0.0;1794100;29:54.1;3:32.1;11.0;2233700;37:13.7;1:58.7;4.0;1575400;26:15.4;2:04.5
83;Isak Nikolai;Hopland;0;m;Hardbagg IL;NO;Serie;M20-22;00:00:00.000;Mål;69.0;OK;27;0;8;1944237;;69.0;17519480;4:51:59.4;32:24.670;0;623700;NOR;;;;;0.0;3097520;51:37.5;8:47.7;0.0;2298980;38:18.9;4:57.3;5.0;1453580;24:13.5;2:25.1;29.0;1371700;22:51.7;0:45.3;9.0;2252800;37:32.8;3:03.2;15.0;2905800;48:25.8;3:23.5;11.0;1730400;28:50.4;2:28.4;0.0;2408700;40:08.7;4:53.7;0.0;1594800;26:34.8;2:23.9
84;Christian;Bucher-Johannessen;0;m;Fossum IF;NO;Serie;M20-22;00:00:00.000;Mål;67.0;OK;28;0;8;431387;Sirdal Ski;67.0;16282480;4:31:22.4;11:47.670;0;623700;NOR;0.0;1715000;28:35.0;3:35.8;0.0;3290680;54:50.6;12:00.8;3.0;2247300;37:27.3;4:05.7;14.0;1398100;23:18.1;1:29.7;18.0;1409100;23:29.1;1:22.7;10.0;2251500;37:31.5;3:01.9;0.0;3069100;51:09.1;6:06.8;6.0;1757400;29:17.4;2:55.4;16.0;2213400;36:53.4;1:38.4;0.0;1733900;28:53.9;4:43.0
85;Simon Hjelmeset;Kirkeeide;0;m;Markane IL;NO;Serie;M20-22;00:00:00.000;Mål;65.0;OK;29;0;8;679924;Team Woodcon;65.0;16206880;4:30:06.8;10:32.070;0;623700;NOR;5.0;1688700;28:08.7;3:09.5;5.0;3041620;50:41.6;7:51.8;6.0;2238710;37:18.7;3:57.1;4.0;1458550;24:18.5;2:30.1;0.0;1473200;24:33.2;2:26.8;5.0;2295400;38:15.4;3:45.8;0.0;3278600;54:38.6;9:36.3;13.0;1721500;28:41.5;2:19.5;14.0;2221100;37:01.1;1:46.1;13.0;1541300;25:41.3;1:30.4
86;Håvard;Mo;0;m;Orkdal IL;NO;Serie;M20-22;00:00:00.000;Mål;57.0;OK;30;0;8;4710971;Team Knyken;57.0;17875340;4:57:55.3;38:20.530;0;623700;NOR;9.0;1653600;27:33.6;2:34.4;13.0;2905900;48:25.9;5:36.1;0.0;2319140;38:39.1;5:17.5;;;;;20.0;1391800;23:11.8;1:05.4;3.0;2330900;38:50.9;4:21.3;0.0;3177500;52:57.5;7:55.2;12.0;1729000;28:49.0;2:27.0;0.0;2367500;39:27.5;4:12.5;0.0;1604300;26:44.3;2:33.4
87;Eivind;Sporaland;0;m;Figgjo IL;NO;Serie;M20-22;00:00:00.000;Mål;57.0;OK;31;0;8;3740349;Team iSandnes;57.0;16930840;4:42:10.8;22:36.030;0;623700;NOR;14.0;1627600;27:07.6;2:08.4;6.0;3004670;50:04.6;7:14.8;0.0;2292550;38:12.5;4:50.9;0.0;1568620;26:08.6;4:20.2;11.0;1422300;23:42.3;1:35.9;19.0;2217600;36:57.6;2:28.0;7.0;2998800;49:58.8;4:56.5;0.0;1798700;29:58.7;3:36.7;0.0;2439400;40:39.4;5:24.4;0.0;1595200;26:35.2;2:24.3
88;Even;Mangset;0;m;MjøsSki;NO;Serie;M20-22;00:00:00.000;Mål;55.0;OK;32;0;8;694571;Team Woodcon;55.0;17820830;4:57:00.8;37:26.020;0;623700;NOR;10.0;1652500;27:32.5;2:33.3;0.0;3215630;53:35.6;10:45.8;8.0;2223680;37:03.6;3:42.0;0.0;1479920;24:39.9;2:51.5;0.0;1460200;24:20.2;2:13.8;12.0;2237700;37:17.7;2:48.1;13.0;2947900;49:07.9;4:05.6;8.0;1748000;29:08.0;2:46.0;4.0;2315500;38:35.5;3:20.5;0.0;1604400;26:44.4;2:33.5
89;Ole Christian;Johnsrud;0;m;Bjerke IL Ski;NO;Serie;M20-22;00:00:00.000;Mål;53.0;OK;33;0;8;4702828;Holmenkollen Biathlon;53.0;16443070;4:34:03.0;14:28.260;0;623700;NOR;;;;;;;;;0.0;2326520;38:46.5;5:24.9;3.0;1468350;24:28.3;2:39.9;24.0;1385400;23:05.4;0:59.0;7.0;2274000;37:54.0;3:24.4;0.0;3139100;52:19.1;7:16.8;10.0;1739200;28:59.2;2:37.2;0.0;2555000;42:35.0;7:20.0;9.0;1555500;25:55.5;1:44.6
90;Eirik;Nome;0;m;Marnardal IL;NO;Serie;M20-22;00:00:00.000;Mål;52.0;OK;34;0;8;694787;Sirdal Ski;52.0;15685880;4:21:25.8;1:51.070;0;623700;NOR;8.0;1665300;27:45.3;2:46.1;0.0;3146530;52:26.5;9:36.7;0.0;2455000;40:55.0;7:33.4;9.0;1412450;23:32.4;1:44.0;0.0;1494900;24:54.9;2:48.5;0.0;2366500;39:26.5;4:56.9;0.0;3056000;50:56.0;5:53.7;16.0;1719200;28:39.2;2:17.2;13.0;2231300;37:11.3;1:56.3;6.0;1561200;26:01.2;1:50.3
91;Sivert Guttorm;Bakken;0;m;Vingrom IL;NO;Serie;M20-22;00:00:00.000;Mål;50.0;OK;35;0;1;694673;;50.0;1499200;24:59.2;Mangler 7;0;623700;NOR;50.0;1499200;24:59.2;0:00.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Thor Arild;Aas;0;m;Birkenes IL;NO;Serie;M20-22;00:00:00.000;Mål;47.0;OK;36;0;7;5802370;Sirdal Ski;47.0;14608170;4:03:28.1;Mangler 1;0;623700;NOR;7.0;1666200;27:46.2;2:47.0;9.0;2975590;49:35.5;6:45.7;17.0;2163660;36:03.6;2:42.0;8.0;1413120;23:33.1;1:44.7;6.0;1437000;23:57.0;1:50.6;0.0;0;0:00.0;34:29.6;0.0;3062100;51:02.1;5:59.8;0.0;1890500;31:30.5;5:08.5;0.0;2412900;40:12.9;4:57.9;0.0;1650500;27:30.5;3:19.6
93;Simen;Hårstad;0;m;Rennebu IL;NO;Serie;M20-22;00:00:00.000;Mål;41.0;OK;37;0;2;382840;Team Hugaas;41.0;4474040;1:14:34.0;Mangler 6;0;623700;NOR;29.0;1566800;26:06.8;1:07.6;12.0;2907240;48:27.2;5:37.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;Erlend;Bakken;0;m;Markane IL;NO;Serie;M20-22;00:00:00.000;Mål;40.0;OK;38;0;8;721556;;40.0;17364330;4:49:24.3;29:49.520;0;623700;NOR;6.0;1682200;28:02.2;3:03.0;0.0;3137030;52:17.0;9:27.2;0.0;2414030;40:14.0;6:52.4;0.0;1509670;25:09.6;3:21.2;12.0;1420800;23:40.8;1:34.4;0.0;2421000;40:21.0;5:51.4;0.0;3110700;51:50.7;6:48.4;22.0;1668900;27:48.9;1:26.9;0.0;2498600;41:38.6;6:23.6;0.0;1647100;27:27.1;3:16.2
95;Fredrik Arne;Grusd;0;m;Fossum IF;NO;Serie;M20-22;00:00:00.000;Mål;39.0;OK;39;0;4;431544;;39.0;8607500;2:23:27.5;Mangler 4;0;623700;NOR;;;;;;;;;;;;;;;;;;;;;;;;;0.0;3058900;50:58.9;5:56.6;0.0;1816500;30:16.5;3:54.5;20.0;2201600;36:41.6;1:26.6;19.0;1530500;25:30.5;1:19.6
96;Peder;Stalenget;0;m;Tretten Skiskytterlag;NO;Serie;M20-22;00:00:00.000;Mål;36.0;OK;40;0;8;374733;Team Hugaas;36.0;17356890;4:49:16.8;29:42.080;0;623700;NOR;0.0;1753900;29:13.9;4:14.7;0.0;3099000;51:39.0;8:49.2;7.0;2232750;37:12.7;3:51.1;7.0;1430940;23:50.9;2:02.5;;;;;;;;;21.0;2843700;47:23.7;2:21.4;0.0;1989300;33:09.3;6:47.3;1.0;2338200;38:58.2;3:43.2;0.0;1669100;27:49.1;3:38.2
97;Jo Brøste;Nørstegård;0;m;Dombås IL;NO;Serie;M20-22;00:00:00.000;Mål;27.0;OK;41;0;8;2970582;Team Hugaas;27.0;15037400;4:10:37.4;8:57.410;0;623700;NOR;0.0;1717800;28:37.8;3:38.6;;;;;11.0;2208540;36:48.5;3:26.9;0.0;1476960;24:36.9;2:48.5;0.0;1476600;24:36.6;2:30.2;8.0;2256600;37:36.6;3:07.0;;;;;0.0;1790500;29:50.5;3:28.5;0.0;2551200;42:31.2;7:16.2;8.0;1559200;25:59.2;1:48.3
98;Odin;Garli;0;m;Sokna IL;NO;Serie;M20-22;00:00:00.000;Mål;24.0;OK;42;0;7;2223534;Team Hugaas;24.0;15939480;4:25:39.4;Mangler 1;0;623700;NOR;0.0;1739200;28:59.2;4:00.0;0.0;3087040;51:27.0;8:37.2;0.0;2374840;39:34.8;6:13.2;;;;;;;;;;;;;0.0;3150900;52:30.9;7:28.6;4.0;1762100;29:22.1;3:00.1;5.0;2288400;38:08.4;2:53.4;15.0;1537000;25:37.0;1:26.1
99;Magnus Fjerdingen;Moan;0;m;Røros IL;NO;Serie;M20-22;00:00:00.000;Mål;23.0;OK;43;0;4;2118305;Trondheim Biathlon Team;23.0;7411860;2:03:31.8;Mangler 4;0;623700;NOR;;;;;;;;;13.0;2186740;36:26.7;3:05.1;2.0;1470920;24:30.9;2:42.5;4.0;1440500;24:00.5;1:54.1;4.0;2313700;38:33.7;4:04.1;;;;;;;;;0.0;0;0:00.0;35:15.0;;;;
100;Jonas Bogen;Øye;0;m;Trondhjems Skiskyttere;NO;Serie;M20-22;00:00:00.000;Mål;22.0;OK;44;0;8;2118020;;22.0;17079520;4:44:39.5;25:04.710;0;623700;NOR;0.0;1703300;28:23.3;3:24.1;7.0;3004480;50:04.4;7:14.6;0.0;2307240;38:27.2;5:05.6;0.0;1479300;24:39.3;2:50.9;6.0;1437000;23:57.0;1:50.6;6.0;2281500;38:01.5;3:31.9;3.0;3045200;50:45.2;5:42.9;0.0;1821500;30:21.5;3:59.5;0.0;2435800;40:35.8;5:20.8;0.0;0;0:00.0;24:10.9
101;Torje Usland;Dahl;0;m;Marnardal IL;NO;Serie;M20-22;00:00:00.000;Mål;16.0;OK;45;0;8;3740975;Sirdal Ski;16.0;16397830;4:33:17.8;13:43.020;0;623700;NOR;;;;;;;;;0.0;2330470;38:50.4;5:28.8;0.0;1502360;25:02.3;3:13.9;0.0;1459300;24:19.3;2:12.9;1.0;2359200;39:19.2;4:49.6;12.0;2976500;49:36.5;4:34.2;0.0;1834000;30:34.0;4:12.0;0.0;2360500;39:20.5;4:05.5;3.0;1575500;26:15.5;2:04.6
102;Mathias Indrelid;Haugen;0;m;Østre Toten Skilag;NO;Serie;M20-22;00:00:00.000;Mål;12.0;OK;46;0;1;2956470;Team Maxim;12.0;2207680;36:47.6;Mangler 7;0;623700;NOR;;;;;;;;;12.0;2207680;36:47.6;3:26.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Olav Lanes;Severinsen;0;m;Tromsø Skiskytterlag;NO;Serie;M20-22;00:00:00.000;Mål;12.0;OK;47;0;8;2123020;Team Arctic Biathlon;12.0;17413740;4:50:13.7;30:38.930;0;623700;NOR;0.0;1696800;28:16.8;3:17.6;3.0;3045940;50:45.9;7:56.1;;;;;;;;;0.0;1472400;24:32.4;2:26.0;0.0;2417900;40:17.9;5:48.3;0.0;3064900;51:04.9;6:02.6;7.0;1755400;29:15.4;2:53.4;2.0;2333000;38:53.0;3:38.0;0.0;1627400;27:07.4;2:56.5
104;Axel Kristian;Rundhaug;0;m;Skonseng UL;NO;Serie;M20-22;00:00:00.000;Mål;11.0;OK;48;0;8;941485;;11.0;18032710;5:00:32.7;40:57.900;0;623700;NOR;0.0;1819500;30:19.5;5:20.3;0.0;3136210;52:16.2;9:26.4;;;;;;;;;0.0;1515500;25:15.5;3:09.1;0.0;2518000;41:58.0;7:28.4;11.0;2978800;49:38.8;4:36.5;0.0;1957400;32:37.4;6:15.4;0.0;2423100;40:23.1;5:08.1;0.0;1684200;28:04.2;3:53.3
105;Håkon Hauge;Gunnes;0;m;Trondhjems Skiskyttere;NO;Serie;M20-22;00:00:00.000;Mål;11.0;OK;49;0;5;4692833;Trondheim Biathlon Team;11.0;11208150;3:06:48.1;Mangler 3;0;623700;NOR;;;;;;;;;0.0;2387240;39:47.2;6:25.6;6.0;1438710;23:58.7;2:10.3;;;;;;;;;5.0;3015600;50:15.6;5:13.3;0.0;1902000;31:42.0;5:20.0;0.0;2464600;41:04.6;5:49.6;;;;
106;Kjerand Tronerud;Kvelvane;0;m;Voss Skiskytterlag;NO;Serie;M20-22;00:00:00.000;Mål;11.0;OK;50;0;7;3829293;Team Woodcon;11.0;15072640;4:11:12.6;Mangler 1;0;623700;NOR;3.0;1691500;28:11.5;3:12.3;0.0;3095440;51:35.4;8:45.6;;;;;;;;;3.0;1443300;24:03.3;1:56.9;0.0;0;0:00.0;34:29.6;0.0;3073100;51:13.1;6:10.8;0.0;1813300;30:13.3;3:51.3;0.0;2383800;39:43.8;4:28.8;5.0;1572200;26:12.2;2:01.3
107;Morten André Skånøy;Søraas;0;m;Skauga IL;NO;Serie;M20-22;00:00:00.000;Mål;10.0;OK;51;0;8;414908;;10.0;17316690;4:48:36.6;29:01.880;0;623700;NOR;0.0;1716500;28:36.5;3:37.3;0.0;3118160;51:58.1;9:08.3;0.0;2310830;38:30.8;5:09.2;0.0;1506600;25:06.6;3:18.2;8.0;1429800;23:49.8;1:43.4;0.0;2394000;39:54.0;5:24.4;2.0;3050800;50:50.8;5:48.5;0.0;1790000;29:50.0;3:28.0;0.0;2367200;39:27.2;4:12.2;0.0;1668300;27:48.3;3:37.4
108;Iver Overgård;Fremstad;0;m;Byåsen Skiskytterlag;NO;Serie;M20-22;00:00:00.000;Mål;5.0;OK;52;0;7;389369;Trondheim Biathlon Team;5.0;14202010;3:56:42.0;Mangler 1;0;623700;NOR;0.0;1731200;28:51.2;3:52.0;0.0;3123970;52:03.9;9:14.1;5.0;2239080;37:19.0;3:57.4;0.0;1498460;24:58.4;3:10.0;0.0;1478500;24:38.5;2:32.1;;;;;;;;;;;;;0.0;2465200;41:05.2;5:50.2;0.0;1665600;27:45.6;3:34.7
109;Magnus Raaum;Langseth;0;m;Østre Toten Skilag;NO;Serie;M20-22;00:00:00.000;Mål;4.0;OK;53;0;8;4445298;Team Lygna skiskyting;4.0;16941760;4:42:21.7;22:46.950;0;623700;NOR;0.0;1882900;31:22.9;6:23.7;4.0;3044560;50:44.5;7:54.7;0.0;2403200;40:03.2;6:41.6;0.0;1569600;26:09.6;4:21.2;0.0;1475600;24:35.6;2:29.2;0.0;2364300;39:24.3;4:54.7;;;;;0.0;1798100;29:58.1;3:36.1;0.0;2403500;40:03.5;4:48.5;0.0;1604700;26:44.7;2:33.8
110;Håkon;Frøseth;0;m;Sokna IL;NO;Serie;M20-22;00:00:00.000;Mål;3.0;OK;54;0;7;4708461;Trondheim Biathlon Team;3.0;14680990;4:04:40.9;Mangler 1;0;623700;NOR;0.0;1723900;28:43.9;3:44.7;0.0;0;0:00.0;42:49.8;0.0;2413620;40:13.6;6:52.0;0.0;1489970;24:49.9;3:01.5;0.0;1511200;25:11.2;3:04.8;0.0;2523900;42:03.9;7:34.3;0.0;3252000;54:12.0;9:09.7;3.0;1766400;29:26.4;3:04.4;;;;;0.0;1607800;26:47.8;2:36.9
111;Eirik;Horten;0;m;Os IL;NO;Serie;M20-22;00:00:00.000;Mål;2.0;OK;55;0;7;694800;Team Hugaas;2.0;13519610;3:45:19.6;Mangler 1;0;623700;NOR;0.0;1777000;29:37.0;4:37.8;;;;;0.0;2350400;39:10.4;5:48.8;0.0;1546210;25:46.2;3:57.8;0.0;1465200;24:25.2;2:18.8;2.0;2331000;38:51.0;4:21.4;;;;;;;;;0.0;2400000;40:00.0;4:45.0;0.0;1649800;27:29.8;3:18.9
112;Erik Kjøsnes;Wekre;0;m;Steinkjer Skiklubb;NO;Serie;M20-22;00:00:00.000;Mål;2.0;OK;55;0;5;941160;;2.0;10735410;2:58:55.4;Mangler 3;0;623700;NOR;0.0;1830700;30:30.7;5:31.5;2.0;3047690;50:47.6;7:57.8;0.0;2410820;40:10.8;6:49.2;;;;;0.0;1485100;24:45.1;2:38.7;0.0;0;0:00.0;34:29.6;0.0;0;0:00.0;45:02.3;0.0;1961100;32:41.1;6:19.1;;;;;;;;
113;Håkon;Nordmo;0;m;Målselvs Skiskyttere;NO;Serie;M20-22;00:00:00.000;Mål;2.0;OK;55;0;8;616774;;2.0;16711610;4:38:31.6;18:56.800;0;623700;NOR;;;;;;;;;0.0;2399620;39:59.6;6:38.0;0.0;1478090;24:38.0;2:49.6;0.0;1510400;25:10.4;3:04.0;0.0;2392800;39:52.8;5:23.2;0.0;3185400;53:05.4;8:03.1;2.0;1768700;29:28.7;3:06.7;0.0;2364800;39:24.8;4:09.8;0.0;1611800;26:51.8;2:40.9
114;Eivind;Fjærbu;0;m;Froland IL;NO;Serie;M20-22;00:00:00.000;Mål;1.0;OK;58;0;8;2125712;;1.0;17701790;4:55:01.7;35:26.980;0;623700;NOR;0.0;1735400;28:55.4;3:56.2;0.0;3296090;54:56.0;12:06.2;;;;;;;;;0.0;1467000;24:27.0;2:20.6;0.0;2367800;39:27.8;4:58.2;0.0;3062900;51:02.9;6:00.6;1.0;1776100;29:36.1;3:14.1;0.0;2412600;40:12.6;4:57.6;0.0;1583900;26:23.9;2:13.0
115;Eirik Markus;Rinde;0;m;Vik IL;NO;Serie;M20-22;00:00:00.000;Mål;1.0;OK;58;0;8;4444898;Team Glalaks;1.0;17679680;4:54:39.6;35:04.870;0;623700;NOR;0.0;1850400;30:50.4;5:51.2;;;;;0.0;2428810;40:28.8;7:07.2;0.0;1552570;25:52.5;4:04.1;0.0;1636000;27:16.0;5:09.6;0.0;2683700;44:43.7;10:14.1;1.0;3053600;50:53.6;5:51.3;0.0;1937600;32:17.6;5:55.6;0.0;2537000;42:17.0;7:02.0;0.0;1831200;30:31.2;6:20.3
116;Sindre;Gjøsæter;0;m;Kvam Langrenn- og Skiskyttarklubb;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;7;4204867;Holmenkollen Biathlon;0.0;15508440;4:18:28.4;Mangler 1;0;623700;NOR;0.0;1731900;28:51.9;3:52.7;0.0;3139990;52:19.9;9:30.1;0.0;2353850;39:13.8;5:52.2;0.0;1495900;24:55.9;3:07.5;;;;;;;;;0.0;3138900;52:18.9;7:16.6;0.0;1850600;30:50.6;4:28.6;;;;;0.0;1797300;29:57.3;5:46.4
117;Kristian;Aasbø;0;m;Gjerstad IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;8;694754;Sirdal Ski;0.0;18938480;5:15:38.4;56:03.670;0;623700;NOR;0.0;1745900;29:05.9;4:06.7;0.0;3389360;56:29.3;13:39.5;0.0;2505610;41:45.6;8:24.0;0.0;1489010;24:49.0;3:00.6;0.0;1481700;24:41.7;2:35.3;0.0;2538200;42:18.2;7:48.6;0.0;3208500;53:28.5;8:26.2;;;;;0.0;2580200;43:00.2;7:45.2;0.0;1686700;28:06.7;3:55.8
118;Magnus Sellie;Hansen;0;m;Skaun IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;7;789242;;0.0;17215600;4:46:55.6;Mangler 1;0;623700;NOR;0.0;1770300;29:30.3;4:31.1;0.0;3571100;59:31.1;16:41.3;0.0;2327700;38:47.7;5:26.1;;;;;;;;;;;;;0.0;3366100;56:06.1;11:03.8;0.0;1889500;31:29.5;5:07.5;0.0;2618000;43:38.0;8:23.0;0.0;1672900;27:52.9;3:42.0
119;Ola Nymoen;Aas;0;m;Røros IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;8;527116;Trondheim Biathlon Team;0.0;18403520;5:06:43.5;47:08.710;0;623700;NOR;0.0;1794600;29:54.6;4:55.4;0.0;3095200;51:35.2;8:45.4;0.0;2589390;43:09.3;9:47.7;0.0;1583630;26:23.6;4:35.2;0.0;1633200;27:13.2;5:06.8;0.0;2635500;43:55.5;9:25.9;0.0;3146700;52:26.7;7:24.4;0.0;1925300;32:05.3;5:43.3;0.0;2435700;40:35.7;5:20.7;0.0;1678100;27:58.1;3:47.2
120;Håvard Heie;Bjørndal;0;m;Hålandsdal IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;7;4580391;Team Glalaks;0.0;17373020;4:49:33.0;Mangler 1;0;623700;NOR;0.0;1815500;30:15.5;5:16.3;0.0;3394120;56:34.1;13:44.3;;;;;;;;;0.0;1618400;26:58.4;4:52.0;0.0;2684000;44:44.0;10:14.4;0.0;3365900;56:05.9;11:03.6;;;;;0.0;2686900;44:46.9;9:31.9;0.0;1808200;30:08.2;5:57.3
121;Arnt Tomas;Sundli;0;m;Sokna IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;8;4190030;;0.0;18175680;5:02:55.6;43:20.870;0;623700;NOR;0.0;1834300;30:34.3;5:35.1;0.0;3136280;52:16.2;9:26.4;0.0;2415340;40:15.3;6:53.7;0.0;1513360;25:13.3;3:24.9;0.0;1549400;25:49.4;3:43.0;0.0;2478100;41:18.1;6:48.5;0.0;3328900;55:28.9;10:26.6;0.0;1920000;32:00.0;5:38.0;0.0;2462800;41:02.8;5:47.8;0.0;1682700;28:02.7;3:51.8
122;Marius Årestrup;Larsen;0;m;Vik IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;8;694782;Team Glalaks;0.0;18797520;5:13:17.5;53:42.710;0;623700;NOR;0.0;1851300;30:51.3;5:52.1;0.0;3474720;57:54.7;15:04.9;;;;;;;;;0.0;1536900;25:36.9;3:30.5;0.0;2576000;42:56.0;8:26.4;0.0;3254400;54:14.4;9:12.1;0.0;1875500;31:15.5;4:53.5;0.0;2529300;42:09.3;6:54.3;0.0;1699400;28:19.4;4:08.5
123;Kristian Aleksander;TORESEN;0;m;Oslo Skiskytterlag;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;2;694749;;0.0;5312230;1:28:32.2;Mangler 6;0;623700;NOR;0.0;1861700;31:01.7;6:02.5;0.0;3450530;57:30.5;14:40.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;Truls Løvaas;Søvik;0;m;Trondhjems Skiskyttere;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;6;4211596;;0.0;12970450;3:36:10.4;Mangler 2;0;623700;NOR;0.0;1866800;31:06.8;6:07.6;0.0;3367190;56:07.1;13:17.3;0.0;2642490;44:02.4;10:40.8;0.0;1488070;24:48.0;2:59.6;;;;;;;;;;;;;0.0;1874200;31:14.2;4:52.2;;;;;0.0;1731700;28:51.7;4:40.8
125;Jo Eivind;Nilssen;0;m;Øystre Slidre IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;8;792186;Team Valdres Ski;0.0;18210260;5:03:30.2;43:55.450;0;623700;NOR;0.0;1876100;31:16.1;6:16.9;0.0;3081040;51:21.0;8:31.2;0.0;2416470;40:16.4;6:54.8;0.0;1531450;25:31.4;3:43.0;0.0;1487100;24:47.1;2:40.7;0.0;2545400;42:25.4;7:55.8;0.0;3390100;56:30.1;11:27.8;0.0;1882600;31:22.6;5:00.6;0.0;2608600;43:28.6;8:13.6;0.0;1716200;28:36.2;4:25.3
126;Sander Kulstad;Haugen;0;m;Østre Toten Skilag;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;5;4204938;Team Lygna skiskyting;0.0;12488360;3:28:08.3;Mangler 3;0;623700;NOR;0.0;1909200;31:49.2;6:50.0;0.0;3474200;57:54.2;15:04.4;0.0;0;0:00.0;33:21.6;0.0;1646560;27:26.5;5:38.1;;;;;;;;;0.0;3308800;55:08.8;10:06.5;0.0;2149600;35:49.6;9:27.6;;;;;;;;
